groups,n_operators,nlvls,current_MAE,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
3.0,4.0,2.0,0.5183445811271667,69925322358784.0,0.05708255246281624,0.05708255246281624,0.9555178880691528,18877.099609375
3.0,3.0,1.0,0.4232138693332672,456280648974336.0,0.10975192487239838,0.10975192487239838,0.9102282524108887,10761.2197265625
1.0,4.0,1.0,0.8464942574501038,1236791801675776.0,0.3038367033004761,0.3038367033004761,0.40967658162117004,7030.4150390625
4.0,3.0,4.0,0.4983208477497101,170295453286400.0,0.09406495094299316,0.09406495094299316,0.9049344062805176,39366.58984375
1.0,2.0,4.0,0.2894161343574524,732943752364032.0,0.19262416660785675,0.19262416660785675,0.8838421106338501,12403.1435546875
1.0,2.0,2.0,0.7134299278259277,1236791801675776.0,0.3038367033004761,0.3038367033004761,0.40967658162117004,7980.15673828125
3.0,3.0,3.0,0.6877224445343018,50801850449920.0,0.056312769651412964,0.056312769651412964,0.9361289143562317,24756.28125
4.0,4.0,3.0,0.38926294445991516,84285621010432.0,0.08690083026885986,0.08690083026885986,0.9062773585319519,33295.26171875
3.0,5.0,4.0,0.3567366302013397,0.021984847262501717,0.02020023576915264,0.02020023576915264,0.9834197163581848,37841.2734375
1.0,2.0,3.0,0.7609174251556396,346192449896448.0,0.12632864713668823,0.12632864713668823,0.46541354060173035,10091.787109375
2.0,3.0,2.0,0.5738869905471802,38688599834624.0,0.012738390825688839,0.012738390825688839,0.9355334639549255,13055.3818359375
2.0,4.0,1.0,0.42038577795028687,394896036855808.0,0.12775962054729462,0.12775962054729462,0.4601989686489105,8939.8134765625
2.0,2.0,2.0,0.5475453734397888,152913368317952.0,0.10790667682886124,0.10790667682886124,0.8850370645523071,11017.2919921875
4.0,3.0,3.0,0.18134067952632904,121571851108352.0,0.021214444190263748,0.021214444190263748,0.5312780141830444,27396.197265625
1.0,3.0,1.0,0.8464942574501038,2098199166713856.0,0.8770942687988281,0.8770942687988281,0.2099936306476593,6537.8857421875
3.0,4.0,4.0,0.10250118374824524,102620735733760.0,0.11120675504207611,0.11120675504207611,0.8967882394790649,37812.03515625
4.0,2.0,4.0,0.6625380516052246,82712043978752.0,0.06537085771560669,0.06537085771560669,0.862865686416626,30405.646484375
