run,operation,started,time,status,label,Smax,Smin,Sslimit,dseta,fdmax,fdmin,function,groups,n,n_operators,nlvls,noise_c,noise_x,step,LSl,LSu,SScounter,SSresets,Total_Moment,current_MAE,current_MAE_saved,current_MAPE,current_MAPE_saved,current_MSE,current_MSE_saved,current_best_cost,current_best_cost_saved,current_r2,current_r2_saved,delta,deltamax,deltamin,global_best
03d9c704,DSRegPSOPnl,2024-07-12 14:53:33,0:13:59,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=2 n=200 n_operators=4 nlvls=2 noise_c=0.25 noise_x=0,0.04,0.01,3,0.001,0.01,1e-12,1,2,200,4,2,0.25,0,2284600,-2.9000000953674316,2.9000000953674316,0.0,5.0,0.15950000286102295,7.509085662604775e-06,7.509085662604775e-06,4.430209628480952e-06,4.430209628480952e-06,5.6386371266592406e-11,5.6386371266592406e-11,6.242726802825928,6.242727168537243e-11,1.0,1.0,1.2465290301702514e-12,3.116322130902738e-11,1.0470931025954806e-23,6.242726802825928
41b73a18,DSRegPSOPnl,2024-07-12 14:47:32,0:09:00,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=2 n=200 n_operators=4 nlvls=2 noise_c=0.15 noise_x=0,0.04,0.01,3,0.001,0.01,1e-12,1,2,200,4,2,0.15,0,1335200,-2.799999952316284,2.799999952316284,0.0,4.0,0.15399999916553497,9.272293368667306e-07,9.272293368667306e-07,5.470466817314446e-07,5.470466817314446e-07,8.597542708148331e-13,8.597542708148331e-13,3.364828109741211,3.364828381202667e-12,1.0,1.0,3.74245041423818e-13,1.2474834533426904e-11,7.742327419111365e-24,3.364828109741211
b7465b75,DSRegPSOPnl,2024-07-12 14:42:26,0:11:06,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=2 n=200 n_operators=4 nlvls=2 noise_c=0.1 noise_x=0,0.04,0.01,3,0.001,0.01,1e-12,1,2,200,4,2,0.1,0,1675000,-3.700000047683716,3.700000047683716,0.0,4.0,0.20350000262260437,7.892993380664848e-06,7.892993380664848e-06,4.504649041336961e-06,4.504649041336961e-06,7.731484896744689e-11,7.731484896744689e-11,7.969836235046387,7.969835902343902e-11,1.0,1.0,1.1028056723025315e-12,9.190048028129283e-12,1.836191770493326e-23,7.969836235046387
1e8b50b6,DSRegPSOPnl,2024-07-12 14:41:37,0:05:54,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=2 n=200 n_operators=4 nlvls=2 noise_c=0.05 noise_x=0,0.04,0.01,3,0.001,0.01,1e-12,1,2,200,4,2,0.05,0,857200,-5.400000095367432,5.400000095367432,0.0,3.0,0.296999990940094,1.159593292867939e-15,1.159593292867939e-15,3.306027297253066e-16,3.306027297253066e-16,3.865938737594496e-30,3.865938737594496e-30,2.7258849143981934,2.725884839030468e-12,1.0,1.0,1.480962055211421e-06,5.1067654567305e-06,2.895986414713211e-18,2.7258849143981934
78b85483,DSRegPSOPnl,2024-07-12 14:39:26,0:02:59,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=2 n=200 n_operators=4 nlvls=2 noise_c=0 noise_x=0,0.04,0.01,3,0.001,0.01,1e-12,1,2,200,4,2,0,0,443000,-3.8014583587646484,3.8014583587646484,0.0,1.0,0.20908021926879883,7.592364470241752e-16,7.592364470241752e-16,1.366944020210256e-16,1.366944020210256e-16,2.045841464837781e-30,2.045841464837781e-30,2.653104066848755,2.6531042987554265e-12,1.0,1.0,1.1373190800592625e-12,8.738804818664292e-12,3.0478152255080374e-23,2.653104066848755
16219992,DSRegPSOPnl,2024-07-12 14:32:14,1:53:52,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=2 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0.25,0.04,0.01,3,0.001,0.01,1e-12,1,2,200,4,2,0.0,0.25,19152800,-8.399999618530273,8.399999618530273,2.0,71.0,0.4620000123977661,1.0458474618426456e-15,1.0458474618426456e-15,1.4257561647160823e-16,1.4257561647160823e-16,3.859783284936302e-30,3.859783284936302e-30,2.653104066848755,2.6531042987554265e-12,1.0,1.0,0.0179075226187706,0.030351733788847923,3.8776588107733e-15,2.653104066848755
049943eb,DSRegPSOPnl,2024-07-12 14:30:53,0:10:43,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=2 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0.15,0.04,0.01,3,0.001,0.01,1e-12,1,2,200,4,2,0.0,0.15,1567400,-5.400000095367432,5.400000095367432,0.0,5.0,0.296999990940094,2.3231246787380755e-11,2.3231246787380755e-11,5.60267240587442e-12,5.60267240587442e-12,6.31131819963606e-21,6.31131819963606e-21,2.653104066848755,2.653104515595861e-12,1.0,1.0,0.00021774586639367044,0.00544364657253027,1.7439067954327014e-15,2.653104066848755
88b678e3,DSRegPSOPnl,2024-07-12 14:30:17,0:27:09,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=2 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0.1,0.04,0.01,3,0.001,0.01,1e-12,1,2,200,4,2,0.0,0.1,3954000,-6.044736862182617,6.044736862182617,2.0,12.0,0.33246052265167236,2.316046388960852e-13,2.316046388960852e-13,1.3197091802610167e-13,1.3197091802610167e-13,9.728603078032422e-26,9.728603078032422e-26,2.653104066848755,2.6531042987554265e-12,1.0,1.0,7.9652750173409e-08,2.247071080319074e-07,1.2312690692837507e-19,2.653104066848755
9b83348a,DSRegPSOPnl,2024-07-12 14:29:55,0:09:31,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=2 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0.05,0.04,0.01,3,0.001,0.01,1e-12,1,2,200,4,2,0.0,0.05,1372000,-10.100000381469727,10.100000381469727,0.0,4.0,0.5554999709129333,6.693256996181441e-16,6.693256996181441e-16,2.3373868885526498e-16,2.3373868885526498e-16,1.610207396163156e-30,1.610207396163156e-30,2.653104066848755,2.6531042987554265e-12,1.0,1.0,0.02890910394489765,0.03803829476237297,2.8040507334689893e-14,2.653104066848755
2e4ac4b4,DSRegPSOPnl,2024-07-12 14:29:20,0:02:53,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=2 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0,0.04,0.01,3,0.001,0.01,1e-12,1,2,200,4,2,0.0,0,443000,-3.8014583587646484,3.8014583587646484,0.0,1.0,0.20908021926879883,7.592364470241752e-16,7.592364470241752e-16,1.366944020210256e-16,1.366944020210256e-16,2.045841464837781e-30,2.045841464837781e-30,2.653104066848755,2.6531042987554265e-12,1.0,1.0,1.1373190800592625e-12,8.738804818664292e-12,3.0478152255080374e-23,2.653104066848755
