noise_c,noise_x,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
0.0,0.05,0.08231030404567719,0.6441158056259155,0.6441158056259155,0.6800468564033508,18674.150390625
0.1,0.0,0.07214687764644623,0.5696927309036255,0.512734055519104,0.6558555364608765,18480.830078125
0.0,0.15,0.16523630917072296,2.4915153980255127,2.4915153980255127,-0.5127504467964172,18623.4921875
0.0,0.0,0.05901120975613594,0.37616607546806335,0.37616607546806335,0.8035340905189514,18949.265625
0.0,0.1,0.14427264034748077,1.951668620109558,1.951668620109558,0.34704312682151794,18643.552734375
0.15,0.0,0.08714581280946732,0.8329014778137207,0.7082434892654419,0.45546865463256836,18157.046875
0.05,0.0,0.12446331232786179,1.3504528999328613,1.2831552028656006,0.5927128791809082,18503.388671875
0.25,0.0,0.10435067117214203,0.967398464679718,0.7257074117660522,0.6453689932823181,18135.24609375
0.0,0.0,0.05901120975613594,0.37616607546806335,0.37616607546806335,0.8035340905189514,18835.384765625
0.0,0.25,0.1810697764158249,2.8152692317962646,2.8152692317962646,-0.44657301902770996,18971.0546875
