groups,n_operators,nlvls,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
1.0,2.0,1.0,41534.78125,2587.38134765625,4293103104.0,4293103104.0,-0.09486706554889679,3849.6181640625
1.0,3.0,1.0,11643.849609375,0.7525402903556824,472912352.0,472912352.0,0.607949435710907,3888.14501953125
1.0,4.0,1.0,9311.0869140625,0.7908856868743896,284543072.0,284543072.0,0.7381641268730164,4003.14306640625
2.0,2.0,1.0,9353.7470703125,3.020313024520874,274377216.0,274377216.0,0.7615262269973755,4000.081787109375
1.0,2.0,2.0,10175.05078125,88.40631866455078,264975168.0,264975168.0,0.6566895842552185,4518.677734375
1.0,5.0,1.0,8487.7822265625,1.8563189506530762,216504592.0,216504592.0,0.7544315457344055,3977.08447265625
3.0,2.0,1.0,6514.966796875,4.150406360626221,128040872.0,128040872.0,0.710762619972229,4289.634765625
2.0,4.0,1.0,7456.01708984375,126.07362365722656,127376032.0,127376032.0,0.6870236992835999,4373.57421875
2.0,5.0,1.0,6348.44384765625,2.0807864665985107,111035592.0,111035592.0,0.8038091659545898,4554.4912109375
4.0,2.0,1.0,6584.9365234375,5.60972261428833,109991112.0,109991112.0,0.7980166077613831,4751.66552734375
3.0,3.0,1.0,6925.5048828125,265.0927429199219,108646480.0,108646480.0,0.8578856587409973,4684.21826171875
2.0,3.0,1.0,6503.0869140625,9.049145698547363,108613664.0,108613664.0,0.8048874735832214,4228.212890625
1.0,3.0,2.0,6212.4609375,68.78459930419922,101706960.0,101706960.0,0.8839522004127502,4779.3310546875
1.0,4.0,2.0,5823.2431640625,11.131650924682617,87216136.0,87216136.0,0.8090395927429199,4905.33837890625
1.0,3.0,3.0,5140.94140625,5.064363956451416,74903376.0,74903376.0,0.8603537082672119,5818.34326171875
3.0,4.0,1.0,6180.19873046875,164.71815490722656,74006720.0,74006720.0,0.9258482456207275,4922.939453125
1.0,5.0,2.0,5459.22021484375,8.502302169799805,73204504.0,73204504.0,0.8403444290161133,5087.7421875
4.0,3.0,1.0,4971.54443359375,4.848709583282471,70037568.0,70037568.0,0.8415424227714539,5388.52392578125
4.0,5.0,2.0,5212.26806640625,75.9543685913086,66336756.0,66336756.0,0.892163872718811,10526.6787109375
4.0,5.0,4.0,4780.1748046875,12.817612648010254,66075508.0,66075508.0,0.8628717064857483,25992.423828125
4.0,4.0,4.0,4990.59716796875,9.933344841003418,65964616.0,65964616.0,0.8549007177352905,22615.01953125
4.0,5.0,3.0,5494.41162109375,82.27436828613281,65715240.0,65715240.0,0.8251373171806335,19465.9140625
4.0,4.0,1.0,5036.0966796875,7.954052925109863,63143880.0,63143880.0,0.8364206552505493,5773.3935546875
