groups,n_operators,nlvls,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
1.0,2.0,1.0,97128.5703125,91.57685852050781,16039051264.0,16039051264.0,-10.889547348022461,8717.353515625
1.0,3.0,1.0,46799.6015625,1.9301238059997559,5314952192.0,5314952192.0,-0.8684669733047485,8989.6669921875
2.0,2.0,1.0,40772.7109375,23.42236328125,3737722880.0,3737722880.0,-0.25065258145332336,9651.88671875
1.0,4.0,1.0,39242.6328125,6.847381114959717,3604709632.0,3604709632.0,-0.2077065259218216,9347.193359375
1.0,5.0,1.0,39242.59765625,6.849624156951904,3604709120.0,3604709120.0,-0.20765693485736847,9561.208984375
2.0,3.0,1.0,39239.41796875,8.157830238342285,3603086592.0,3603086592.0,-0.1861080527305603,10180.3486328125
3.0,2.0,1.0,39235.08984375,19.793996810913086,3600747008.0,3600747008.0,-0.0012574484571814537,10750.2080078125
4.0,4.0,1.0,35169.15625,30.10135269165039,1995864576.0,1995864576.0,-2.7434096336364746,13809.5341796875
3.0,5.0,1.0,27396.4609375,84.26738739013672,1275228928.0,1275228928.0,-7.499216079711914,13878.400390625
4.0,5.0,1.0,20694.81640625,0.5014192461967468,1002979264.0,1002979264.0,-0.06592860817909241,14888.8505859375
3.0,4.0,1.0,17282.888671875,0.4060680866241455,559778816.0,559778816.0,0.4386522173881531,12718.9130859375
2.0,5.0,1.0,13330.8896484375,4.156793594360352,311999840.0,311999840.0,0.2713974118232727,11967.0029296875
2.0,4.0,1.0,14574.283203125,41.46501922607422,266259088.0,266259088.0,-2.1943278312683105,10749.9716796875
3.0,3.0,1.0,12606.2802734375,41.317081451416016,264515088.0,264515088.0,-2.0945651531219482,11676.5908203125
3.0,4.0,4.0,9932.7353515625,0.47223523259162903,174692624.0,174692624.0,0.13315273821353912,34294.62109375
4.0,2.0,1.0,9195.3271484375,21.88743019104004,135144016.0,135144016.0,-2.1815366744995117,11741.2763671875
