noise_c,noise_x,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
0.0,0.0,0.009020774625241756,0.0031605481635779142,0.0003545717045199126,0.00035457173362374306,0.9998319149017334,12618.396484375
0.05,0.0,0.023068847134709358,0.00971626490354538,0.003163254354149103,0.0030061062425374985,0.9974861145019531,12289.2080078125
0.0,0.1,0.3311592638492584,31286632644608.0,0.570835292339325,0.570835292339325,0.6761977076530457,12409.34765625
0.0,0.15,0.4255257844924927,713771085463552.0,0.4108932614326477,0.4108932614326477,0.2853136956691742,12378.0126953125
0.0,0.05,0.2371332049369812,504655201173504.0,0.2034381777048111,0.2034381777048111,0.4199969172477722,12469.7431640625
0.15,0.0,0.05269404128193855,0.022746631875634193,0.019610071554780006,0.016668573021888733,0.9864122271537781,10447.5537109375
0.25,0.0,0.022275133058428764,0.008140519261360168,0.0024486978072673082,0.0018369887256994843,0.9986273646354675,10611.1201171875
0.0,0.0,0.009020774625241756,0.0031605481635779142,0.0003545717045199126,0.00035457173362374306,0.9998319149017334,12660.9169921875
0.1,0.0,0.02262183465063572,14836520976384.0,0.013888988643884659,0.012501297518610954,0.9914742112159729,12348.12890625
0.0,0.25,0.5333717465400696,938452568768512.0,0.6747004389762878,0.6747004389762878,0.2428557425737381,12492.125
