run,operation,started,time,status,label,Smax,Smin,Sslimit,dseta,fdmax,fdmin,function,groups,n,n_operators,nlvls,step,LSl,LSu,SScounter,SSresets,Total_Moment,current_MAE,current_MAE_saved,current_MAPE,current_MAPE_saved,current_MSE,current_MSE_saved,current_best_cost,current_best_cost_saved,current_r2,current_r2_saved,delta,deltamax,deltamin,global_best
7b36c9b8,DSRegPSOPnl,2024-07-30 20:13:29,7:13:12,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=5 nlvls=4,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,5,4,19980200,-7.200594425201416,7.200594425201416,0.0,32.0,0.3960326910018921,5049.21923828125,4780.1748046875,1.2809455394744873,12.817612648010254,75632256.0,66075508.0,75632256.0,66075508.0,0.8102136850357056,0.8628717064857483,0.00340183824300766,0.00723703857511282,6.080766413230673e-16,75632256.0
b83a2d0f,DSRegPSOPnl,2024-07-30 19:28:39,5:24:25,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=5 nlvls=3,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,5,3,19980200,-12.199999809265137,12.199999809265137,2.0,30.0,0.6710000038146973,5516.04052734375,5494.41162109375,61.561279296875,82.27436828613281,66259464.0,65715240.0,66259464.0,65715240.0,0.8366301655769348,0.8251373171806335,0.006369162350893021,0.0065661463886499405,2.844310431798135e-16,66259464.0
8b9f1061,DSRegPSOPnl,2024-07-30 17:54:52,2:55:26,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=5 nlvls=2,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,5,2,19980200,-6.5002665519714355,6.5002665519714355,0.0,34.0,0.3575146496295929,6771.361328125,5212.26806640625,25.426788330078125,75.9543685913086,118408776.0,66336756.0,118408776.0,66336756.0,0.7058466672897339,0.892163872718811,0.004471047781407833,0.011176875792443752,2.923583980633869e-15,118408776.0
31b79851,DSRegPSOPnl,2024-07-30 17:49:49,1:38:49,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=5 nlvls=1,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,5,1,19980200,-5.709633827209473,5.709633827209473,0.0,40.0,0.31402987241744995,8145.6318359375,5330.4345703125,16.630014419555664,194.71817016601562,175450960.0,58587472.0,175450960.0,58587472.0,0.7887028455734253,0.8850268721580505,0.005611460190266371,0.0174831785261631,7.688968006128866e-14,175450960.0
f213a495,DSRegPSOPnl,2024-07-30 16:44:03,6:16:55,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=4 nlvls=4,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,4,4,19980200,-3.400344133377075,3.400344133377075,0.0,33.0,0.18701893091201782,31472.396484375,4990.59716796875,1.0907435417175293,9.933344841003418,5634550272.0,65964616.0,5634550272.0,65964616.0,-0.06473846733570099,0.8549007177352905,0.05040691792964935,0.5598627924919128,1.325529719624005e-13,5634550272.0
e716e2e1,DSRegPSOPnl,2024-07-30 16:29:42,3:43:46,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=4 nlvls=3,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,4,3,19980200,-2.9000000953674316,2.9000000953674316,0.0,31.0,0.15950000286102295,7183.2314453125,215.4964599609375,0.7486372590065002,0.3811244070529938,147906704.0,83115.96875,147906704.0,83115.96875,0.7485287189483643,0.9998936057090759,0.0005888863815926015,0.014722159132361412,1.0894923167575812e-14,147906704.0
b806b10e,DSRegPSOPnl,2024-07-30 15:17:22,2:32:25,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=4 nlvls=2,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,4,2,19980200,-6.208247184753418,6.208247184753418,1.0,34.0,0.3414536118507385,6318.07666015625,1202.851318359375,1.0287151336669922,3.331806182861328,110751664.0,3794921.0,110751664.0,3794921.0,0.7816376090049744,0.993935227394104,0.003967053722590208,0.010697921738028526,9.161895451559408e-15,110751664.0
2bc2b2f0,DSRegPSOPnl,2024-07-30 15:07:50,1:36:13,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=4 nlvls=1,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,4,1,19980200,-4.2004899978637695,4.2004899978637695,1.0,47.0,0.23102694749832153,20671.9765625,5036.0966796875,911.6705932617188,7.954052925109863,798310976.0,63143880.0,798310976.0,63143880.0,0.17480286955833435,0.8364206552505493,0.013302884995937347,0.07822971791028976,2.092540008456767e-13,798310976.0
c3057a2f,DSRegPSOPnl,2024-07-30 13:22:32,4:32:19,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=3 nlvls=4,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,3,4,19980200,-9.768457412719727,9.768457412719727,0.0,33.0,0.5372651815414429,25718.390625,287.0849914550781,1.0353549718856812,0.988578736782074,5050444288.0,170081.984375,5050444288.0,180081.984375,0.21076823770999908,0.999698281288147,0.35996779799461365,0.4952464997768402,9.587052966818568e-14,5050444288.0
4ccfba23,DSRegPSOPnl,2024-07-30 13:08:05,3:21:37,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=3 nlvls=3,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,3,3,19980200,-10.77553653717041,10.77553653717041,0.0,32.0,0.5926544666290283,8524.515625,3120.06884765625,0.7945641279220581,7.518940448760986,219074720.0,28187848.0,219074720.0,28187848.0,0.6292784810066223,0.9678800702095032,0.017651069909334183,0.02132921665906906,1.9170473178732952e-15,219074720.0
8f6b08fc,DSRegPSOPnl,2024-07-30 12:57:48,2:19:33,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=3 nlvls=2,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,3,2,19980200,-6.962900638580322,6.962900638580322,0.0,39.0,0.3829595446586609,1778.9156494140625,1905.32763671875,45.440677642822266,68.80303192138672,9180606.0,5788329.5,9180606.0,5788329.5,0.9963213205337524,0.9902310371398926,0.00035128823947161436,0.0007871298585087061,3.613969632473164e-17,9180606.0
021229a8,DSRegPSOPnl,2024-07-30 11:38:16,1:29:48,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=3 nlvls=1,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,3,1,19980200,-9.600000381469727,9.600000381469727,1.0,56.0,0.527999997138977,9554.1474609375,4971.54443359375,0.7766551971435547,4.848709583282471,331018528.0,70037568.0,331018528.0,70037568.0,0.7091003656387329,0.8415424227714539,0.006951306015253067,0.033101458102464676,2.9781935923477165e-13,331018528.0
27876b61,DSRegPSOPnl,2024-07-30 11:20:17,3:47:32,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=2 nlvls=4,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,2,4,19980200,-5.707149505615234,5.707149505615234,0.0,39.0,0.31389319896698,15314.63671875,2949.650634765625,7.584513187408447,14.277376174926758,688432256.0,26210952.0,688442240.0,26210952.0,0.5546767115592957,0.8749351501464844,0.020968712866306305,0.06538115441799164,5.992660523628651e-14,688442240.0
6f139cbf,DSRegPSOPnl,2024-07-30 10:10:28,2:47:19,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=2 nlvls=3,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,2,3,19980200,-12.379698753356934,12.379698753356934,0.0,35.0,0.6808834075927734,28176.2265625,3151.8447265625,261.3318176269531,95.62593841552734,1758667264.0,21396858.0,1758667264.0,21396858.0,0.44767990708351135,0.9866121411323547,0.17264705896377563,0.17474932968616486,1.55513812548011e-13,1758667264.0
1527503b,DSRegPSOPnl,2024-07-30 09:39:56,1:58:19,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=2 nlvls=2,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,2,2,19980200,-14.498584747314453,14.498584747314453,1.0,47.0,0.7974221706390381,6994.6259765625,662.391357421875,1.4840798377990723,3.1614136695861816,139018256.0,978614.375,139018256.0,978614.375,0.7851399779319763,0.9985887408256531,0.012218402698636055,0.012863393872976303,2.2912839228489586e-14,139018256.0
e18a7c0f,DSRegPSOPnl,2024-07-30 08:51:16,1:19:11,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=4 n=200 n_operators=2 nlvls=1,0.04,0.01,3,0.001,1e-11,1e-21,10,4,200,2,1,19980200,-2.799999952316284,2.799999952316284,1.0,59.0,0.15399999916553497,20184.732421875,6584.9365234375,129.59896850585938,5.60972261428833,1083608448.0,109991112.0,1083608448.0,109991112.0,-0.5360704660415649,0.7980166077613831,0.0021154209971427917,0.07051403820514679,1.0957726425449982e-13,1083608448.0
b11c9f87,DSRegPSOPnl,2024-07-30 08:30:32,4:51:59,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=5 nlvls=4,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,5,4,19980200,-3.0999999046325684,3.0999999046325684,0.0,34.0,0.1704999953508377,10753.44140625,3803.656494140625,0.9145169258117676,103.12872314453125,364712384.0,25675352.0,364712384.0,25685352.0,0.6747562885284424,0.9243155121803284,0.002157527720555663,0.03595879673957825,1.5235423862376674e-15,364712384.0
9be27845,DSRegPSOPnl,2024-07-30 07:52:15,3:28:01,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=5 nlvls=3,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,5,3,19980200,-6.40598201751709,6.40598201751709,0.0,33.0,0.3523290157318115,10981.80078125,873.79296875,7.0191330909729,9.73446273803711,387768864.0,1902794.75,387778848.0,1902794.75,0.6898195743560791,0.998181939125061,0.015014780685305595,0.03844047337770462,3.279669897747646e-14,387778848.0
8a3c2a3b,DSRegPSOPnl,2024-07-30 06:32:32,2:18:44,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=5 nlvls=2,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,5,2,19980200,-3.5,3.5,0.0,38.0,0.19249999523162842,13134.017578125,4457.08349609375,25.33592987060547,77.95293426513672,554009728.0,39444836.0,554009728.0,39444836.0,0.5481224060058594,0.9508146047592163,0.005144587252289057,0.05144587159156799,3.059806910881563e-14,554009728.0
e4bc2e73,DSRegPSOPnl,2024-07-30 06:24:25,1:27:50,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=5 nlvls=1,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,5,1,19980200,-5.500208854675293,5.500208854675293,0.0,52.0,0.3025114834308624,14321.509765625,4633.8056640625,525.1519775390625,24.522533416748047,497422048.0,44246260.0,497422048.0,44246260.0,0.5129074454307556,0.9277242422103882,0.014364615082740784,0.04787871614098549,4.710178644687368e-13,497422048.0
b5487524,DSRegPSOPnl,2024-07-30 05:31:07,4:08:49,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=4,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,4,19980200,-6.0,6.0,1.0,35.0,0.33000001311302185,11104.9931640625,87.76797485351562,13.221098899841309,2.8045713901519775,439645728.0,14087.681640625,439655712.0,24087.681640625,0.7175697088241577,0.9999811053276062,0.01498209685087204,0.0428059883415699,2.8675178957672173e-14,439655712.0
f1dfa21e,DSRegPSOPnl,2024-07-30 05:29:59,3:00:32,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=3,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,3,19980200,-4.900000095367432,4.900000095367432,0.0,34.0,0.2694999873638153,9154.56640625,4037.204345703125,0.7774743437767029,39.29975891113281,290748480.0,37681268.0,290758464.0,37681268.0,0.6626653671264648,0.90176922082901,0.0064528826624155045,0.026887010782957077,2.4921104795002117e-15,290758464.0
eac93746,DSRegPSOPnl,2024-07-30 04:19:03,2:05:20,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=2,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,2,19980200,-3.5999999046325684,3.5999999046325684,1.0,41.0,0.1979999989271164,10822.2080078125,21.049514770507812,54.39527130126953,0.7127578258514404,365456768.0,624.5813598632812,365456768.0,624.5813598632812,0.6199714541435242,0.9999982118606567,0.003982171416282654,0.036201559007167816,8.204272358052281e-14,365456768.0
c5a65bfa,DSRegPSOPnl,2024-07-30 04:09:04,1:22:02,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=1,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,1,19980200,-2.700000047683716,2.700000047683716,0.0,59.0,0.148499995470047,28763.345703125,6180.19873046875,872.7241821289062,164.71815490722656,1492212224.0,74006720.0,1492212224.0,74006720.0,0.3684273064136505,0.9258482456207275,0.002829289296641946,0.1414644569158554,2.7973226491249947e-13,1492212224.0
a2bf370e,DSRegPSOPnl,2024-07-30 02:59:45,3:32:46,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=3 nlvls=4,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,3,4,19980200,-4.110446929931641,4.110446929931641,1.0,33.0,0.22607459127902985,10043.5927734375,30.60116195678711,0.8087676167488098,0.32256758213043213,296424576.0,1206.2454833984375,296424576.0,1206.2454833984375,0.6080234050750732,0.9999973177909851,0.004716935567557812,0.029289603233337402,2.0075942929018327e-14,296424576.0
f502ec9f,DSRegPSOPnl,2024-07-30 02:51:00,2:38:59,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=3 nlvls=3,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,3,3,19980200,-7.449775218963623,7.449775218963623,0.0,40.0,0.40973764657974243,13296.9560546875,1952.1614990234375,18.665611267089844,30.0575008392334,734848448.0,10194545.0,734848448.0,10194545.0,0.6893392205238342,0.9732285141944885,0.03325377777218819,0.06718239933252335,2.5808668268782536e-15,734848448.0
d4f2b6c0,DSRegPSOPnl,2024-07-30 02:25:11,1:53:52,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=3 nlvls=2,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,3,2,19980200,-19.200000762939453,19.200000762939453,1.0,48.0,1.055999994277954,9457.5390625,2426.277587890625,0.7963880300521851,154.1764373779297,294368032.0,15017643.0,294368032.0,15017643.0,0.6444845199584961,0.9769225716590881,0.02708183415234089,0.02943677455186844,1.2535278702899017e-14,294368032.0
366a1739,DSRegPSOPnl,2024-07-30 01:32:55,1:18:04,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=3 nlvls=1,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,3,1,19980200,-5.798015117645264,5.798015117645264,0.0,68.0,0.3188908100128174,28651.751953125,6925.5048828125,964.9822998046875,265.0927429199219,1680271872.0,108646480.0,1680271872.0,108646480.0,-1.71171236038208,0.8578856587409973,0.05209007486701012,0.1579437106847763,2.079654807737863e-13,1680271872.0
