noise_c,noise_x,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
0.25,0.0,7.591901779174805,0.2842760980129242,85.6825942993164,64.30252838134766,0.16909725964069366,12009.0576171875
0.0,0.15,8.207381248474121,0.30670905113220215,102.39459228515625,102.39459228515625,0.007033499423414469,14722.9921875
0.0,0.25,8.225214958190918,0.3034190237522125,103.06913757324219,103.06913757324219,0.0004921175423078239,14701.4716796875
0.05,0.0,7.2693257331848145,0.26800528168678284,79.41683959960938,75.45233917236328,0.2298591136932373,14415.880859375
0.0,0.0,5.679899215698242,0.2041935920715332,39.09344482421875,39.09344482421875,0.6208932399749756,14659.166015625
0.0,0.1,8.16563606262207,0.2984260320663452,101.23529052734375,101.23529052734375,0.01827574335038662,14911.5458984375
0.15,0.0,7.161134719848633,0.2328803837299347,73.2523193359375,62.30021667480469,0.28963926434516907,12185.6279296875
0.1,0.0,7.201235294342041,0.2716228663921356,73.84510040283203,67.01597595214844,0.2838907539844513,14549.474609375
0.0,0.0,5.679899215698242,0.2041935920715332,39.09344482421875,39.09344482421875,0.6208932399749756,14541.8203125
0.0,0.05,7.83009672164917,0.292933851480484,93.05382537841797,93.05382537841797,0.09761510044336319,14785.2890625
