run,operation,started,time,status,label,Smax,Smin,Sslimit,dseta,fdmax,fdmin,function,groups,n,n_operators,nlvls,noise_c,noise_x,step,LSl,LSu,SScounter,SSresets,Total_Moment,current_MAE,current_MAE_saved,current_MAPE,current_MAPE_saved,current_MSE,current_MSE_saved,current_best_cost,current_best_cost_saved,current_r2,current_r2_saved,delta,deltamax,deltamin,global_best
ff2bc2e1,DSRegPSOPnl,2024-07-16 16:16:28,0:01:27,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=5 groups=1 n=200 n_operators=2 nlvls=3 noise_c=0.25 noise_x=0,0.04,0.01,3,0.001,0.0001,1e-14,5,1,200,2,3,0.25,0,274800,-2.799999952316284,2.799999952316284,0.0,1.0,0.15399999916553497,2.418321628283593e-06,2.418321628283593e-06,2.0109024490011507e-07,2.0109024490011507e-07,1.1193908647233464e-11,1.1193908647233464e-11,9.44135570526123,9.441355683370567e-12,1.0,1.0,1.8770724449605758e-14,6.256907969168224e-13,2.3043622978398596e-24,9.44135570526123
df16b749,DSRegPSOPnl,2024-07-16 16:15:29,0:01:48,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=5 groups=1 n=200 n_operators=2 nlvls=3 noise_c=0.15 noise_x=0,0.04,0.01,3,0.001,0.0001,1e-14,5,1,200,2,3,0.15,0,335200,-2.799999952316284,2.799999952316284,0.0,1.0,0.15399999916553497,7.039871888991911e-06,7.039871888991911e-06,2.3481818516302155e-06,2.3481818516302155e-06,7.260418655175016e-11,7.260418655175016e-11,7.958675861358643,7.958676079278248e-11,1.0,1.0,1.1730371245210515e-14,3.910123906516322e-13,3.0607059621172087e-24,7.958675861358643
68b18f7e,DSRegPSOPnl,2024-07-16 16:11:18,0:05:09,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=5 groups=1 n=200 n_operators=2 nlvls=3 noise_c=0.1 noise_x=0,0.04,0.01,3,0.001,0.0001,1e-14,5,1,200,2,3,0.1,0,1003400,-2.799999952316284,2.799999952316284,0.0,3.0,0.15399999916553497,6.513487733172951e-06,6.513487733172951e-06,5.416148383119435e-07,5.416148383119435e-07,8.12046402343114e-11,8.12046402343114e-11,7.487850189208984,7.48784992343765e-11,1.0,1.0,4.303729935769369e-15,1.4345766057282522e-13,1.6097558740812385e-24,7.487850189208984
f072e83f,DSRegPSOPnl,2024-07-16 15:52:56,0:18:21,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=5 groups=1 n=200 n_operators=2 nlvls=3 noise_c=0.05 noise_x=0,0.04,0.01,3,0.001,0.0001,1e-14,5,1,200,2,3,0.05,0,3524200,-2.700000047683716,2.700000047683716,0.0,11.0,0.148499995470047,4.0985319174069446e-06,4.0985319174069446e-06,3.408044619845896e-07,3.408044619845896e-07,3.2152169815446996e-11,3.2152169815446996e-11,3.1923439502716064,3.19234361167986e-11,1.0,1.0,7.340573190527805e-14,3.670286730789174e-12,5.61749743874055e-23,3.1923439502716064
91e31c4b,DSRegPSOPnl,2024-07-16 15:50:39,0:02:16,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=5 groups=1 n=200 n_operators=2 nlvls=3 noise_c=0 noise_x=0,0.04,0.01,3,0.001,0.0001,1e-14,5,1,200,2,3,0,0,429200,-4.120582580566406,4.120582580566406,0.0,2.0,0.2266320437192917,1.3156142206533395e-16,1.3156142206533395e-16,1.2334188051962722e-16,1.2334188051962722e-16,6.132160825379524e-32,6.132160825379524e-32,1.3742929697036743,1.3742932573196365e-12,1.0,1.0,8.023885698094091e-07,4.951235041517066e-06,5.2044831022019663e-17,1.3742929697036743
67623294,DSRegPSOPnl,2024-07-16 15:48:06,0:02:32,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=5 groups=1 n=200 n_operators=2 nlvls=3 noise_c=0.0 noise_x=0.25,0.04,0.01,3,0.001,0.0001,1e-14,5,1,200,2,3,0.0,0.25,481000,-8.399999618530273,8.399999618530273,0.0,1.0,0.4620000123977661,1.2982669858935714e-16,1.2982669858935714e-16,4.928779171826612e-17,4.928779171826612e-17,2.2096002411276703e-31,2.2096002411276703e-31,1.3742929697036743,1.3742932573196365e-12,1.0,1.0,1.3236227687229984e-06,3.893007942679105e-06,1.239858704050018e-17,1.3742929697036743
d7cbe974,DSRegPSOPnl,2024-07-16 15:46:55,1:28:22,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=5 groups=1 n=200 n_operators=2 nlvls=3 noise_c=0.0 noise_x=0.15,0.04,0.01,3,0.001,0.0001,1e-14,5,1,200,2,3,0.0,0.15,19980200,-4.400000095367432,4.400000095367432,0.0,73.0,0.24199999868869781,11.339674949645996,0.009680937975645065,2.9610276222229004,0.005247889086604118,211.61903381347656,9.372056229040027e-05,211.61903381347656,9.372056229040027e-05,-1.629319429397583,0.9999947547912598,0.025745639577507973,0.1355033665895462,1.164113944129852e-12,211.61903381347656
d09b61f5,DSRegPSOPnl,2024-07-16 15:46:37,0:28:52,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=5 groups=1 n=200 n_operators=2 nlvls=3 noise_c=0.0 noise_x=0.1,0.04,0.01,3,0.001,0.0001,1e-14,5,1,200,2,3,0.0,0.1,5567800,-2.9000000953674316,2.9000000953674316,0.0,22.0,0.15950000286102295,1.0297318659277445e-16,1.0297318659277445e-16,1.1889381934601927e-16,1.1889381934601927e-16,3.337251384124315e-32,3.337251384124315e-32,1.3742929697036743,1.3742932573196365e-12,1.0,1.0,2.3604262366916373e-07,5.9010653785662726e-06,8.195794182937064e-17,1.3742929697036743
bbf50159,DSRegPSOPnl,2024-07-16 15:46:19,0:33:33,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=5 groups=1 n=200 n_operators=2 nlvls=3 noise_c=0.0 noise_x=0.05,0.04,0.01,3,0.001,0.0001,1e-14,5,1,200,2,3,0.0,0.05,6516000,-10.37143325805664,10.37143325805664,0.0,27.0,0.5704287886619568,3.7470027742843523e-17,3.7470027742843523e-17,1.6396718209160937e-17,1.6396718209160937e-17,6.851688558231126e-32,6.851688558231126e-32,1.3742929697036743,1.3742932573196365e-12,1.0,1.0,0.000884759530890733,0.0011240133317187428,3.6130855285995776e-15,1.3742929697036743
e3a823a2,DSRegPSOPnl,2024-07-16 15:45:55,0:02:11,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=5 groups=1 n=200 n_operators=2 nlvls=3 noise_c=0.0 noise_x=0,0.04,0.01,3,0.001,0.0001,1e-14,5,1,200,2,3,0.0,0,429200,-4.120582580566406,4.120582580566406,0.0,2.0,0.2266320437192917,1.3156142206533395e-16,1.3156142206533395e-16,1.2334188051962722e-16,1.2334188051962722e-16,6.132160825379524e-32,6.132160825379524e-32,1.3742929697036743,1.3742932573196365e-12,1.0,1.0,8.023885698094091e-07,4.951235041517066e-06,5.2044831022019663e-17,1.3742929697036743
