groups,n_operators,nlvls,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
1.0,3.0,3.0,6.165461400087224e-06,2.103611905113212e-06,5.7196775093970587e-11,5.857106466500284e-11,1.0,247.06407165527344
4.0,5.0,3.0,0.1276950091123581,0.01710514724254608,0.03139844909310341,0.03139844909310341,0.9997007846832275,17541.6328125
2.0,3.0,3.0,2.4179039428418037e-06,2.458436085817084e-07,1.1012394121601154e-11,1.2386687162080356e-11,1.0,972.5281372070312
4.0,3.0,4.0,8.45005524752196e-06,4.437100415088935e-06,9.487061830570909e-11,9.624490787674134e-11,1.0,7885.10400390625
2.0,4.0,4.0,7.437137810484273e-06,1.3926121482654708e-06,9.15521616851045e-11,9.292645125613674e-11,1.0,2769.377197265625
1.0,5.0,2.0,9.753926860867068e-06,5.2706923270307016e-06,9.649504806308329e-11,9.786934457300944e-11,1.0,543.828369140625
4.0,3.0,2.0,8.9143832155969e-06,4.8810752559802495e-06,9.092259584120299e-11,9.229689235112915e-11,1.0,4116.15087890625
1.0,3.0,2.0,2.4293308342748787e-06,1.8900337295235659e-07,1.1126185910093067e-11,1.2500479817934007e-11,1.0,234.53968811035156
4.0,2.0,1.0,8.338389307027683e-06,4.383912710181903e-06,9.097352038356377e-11,9.234780995459602e-11,1.0,49.88689422607422
4.0,4.0,3.0,0.042608752846717834,0.02309258095920086,0.0018156253499910235,0.0018156253499910235,0.9998988509178162,17598.861328125
3.0,4.0,4.0,0.19589827954769135,0.08705160766839981,0.04987305775284767,0.04987305775284767,0.9975011944770813,18208.3984375
1.0,2.0,2.0,2.752678938122699e-06,4.201455681140942e-07,1.3000380286176672e-11,1.4374674194017611e-11,1.0,257.10498046875
1.0,3.0,4.0,5.844653401254618e-07,3.957676995014481e-07,5.136056510646192e-13,1.8878989083842557e-12,1.0,553.5252075195312
3.0,2.0,1.0,6.126657808636082e-06,1.8044701164399157e-06,5.8047733286770153e-11,5.942202979669631e-11,1.0,302.9901428222656
4.0,5.0,1.0,8.366962902073283e-06,4.500127943174448e-06,9.184916716087344e-11,9.322346367079959e-11,1.0,1052.7720947265625
4.0,4.0,1.0,3.472675018656446e-07,1.8649932087555499e-07,1.353581146907451e-13,1.5096513449053273e-12,1.0,37.66489791870117
3.0,4.0,1.0,5.53704103367636e-06,2.984378170367563e-06,3.208099758067462e-11,3.3455294090600773e-11,1.0,226.41554260253906
4.0,5.0,2.0,6.901797860336956e-06,3.2987331906042527e-06,6.540081670669551e-11,6.677510627772776e-11,1.0,4615.24169921875
1.0,4.0,1.0,6.510547336802119e-06,3.542980266502127e-06,4.329452768514486e-11,4.466882072562406e-11,1.0,31.663286209106445
2.0,2.0,3.0,3.657032266346505e-06,3.040863134629035e-07,2.559836717597186e-11,2.697266021645106e-11,1.0,1997.850830078125
1.0,2.0,3.0,1.3156142206533395e-16,1.2334188051962722e-16,6.132160825379524e-32,1.3742932573196365e-12,1.0,149.8087615966797
4.0,4.0,4.0,7.474287940567592e-06,4.93058405481861e-06,8.621245384254905e-11,8.75867434135813e-11,1.0,16855.794921875
1.0,4.0,4.0,5.241011876933044e-06,8.798498924988962e-07,4.725700039620584e-11,4.863129343668504e-11,1.0,1090.4832763671875
2.0,4.0,2.0,6.386615950759733e-06,1.2232497965669609e-06,7.086754100216197e-11,7.224183751208813e-11,1.0,291.1240539550781
2.0,2.0,4.0,6.991460850258591e-06,3.7898857954132836e-06,4.888052462792558e-11,5.025481766840478e-11,1.0,5030.07080078125
1.0,5.0,1.0,1.3705486026083236e-06,1.1396497257010196e-07,3.5953612049360872e-12,4.969654462255724e-12,1.0,111.0897445678711
2.0,4.0,3.0,7.107979854481528e-06,6.849811029496777e-07,9.590769151079925e-11,9.72819810818315e-11,1.0,1049.958740234375
1.0,2.0,4.0,5.016445811634185e-06,4.1713161635925644e-07,4.816659224249342e-11,4.9540885282972624e-11,1.0,78.99763488769531
1.0,5.0,4.0,3.4984002468263498e-06,1.4475868965746486e-06,1.7622289044672e-11,1.8996582085151204e-11,1.0,1538.1578369140625
2.0,4.0,1.0,2.8019671844958793e-06,2.3299146789668157e-07,1.502725895108359e-11,1.640155199156279e-11,1.0,261.30682373046875
4.0,2.0,2.0,4.330935553298332e-06,1.2218772553751478e-06,2.980573080013649e-11,3.118002384061569e-11,1.0,304.05609130859375
2.0,3.0,4.0,6.303650479821954e-06,3.4518395750637865e-06,4.555556626373303e-11,4.692985930421223e-11,1.0,41.03508758544922
2.0,5.0,2.0,2.4670750917721307e-06,9.519433774585195e-07,8.850720503716936e-12,1.0225013544196138e-11,1.0,657.0328369140625
2.0,5.0,3.0,4.947430170432199e-06,2.341441813769052e-06,3.4296579465298294e-11,3.5670872505777496e-11,1.0,3002.85888671875
3.0,5.0,1.0,6.35590185993351e-06,7.535628583354992e-07,8.254321531842024e-11,8.391750488945249e-11,1.0,49.247859954833984
2.0,5.0,4.0,0.052243221551179886,0.028320301324129105,0.0027299406938254833,0.0027299406938254833,0.9998478889465332,15149.8447265625
2.0,2.0,2.0,5.7827483033179305e-06,2.9617076506838202e-06,4.484372942425985e-11,4.621802246473905e-11,1.0,102.15288543701172
1.0,4.0,2.0,6.526717697852291e-06,3.5262617075204616e-06,4.326681374289265e-11,4.4641106783371853e-11,1.0,83.98710632324219
2.0,5.0,1.0,2.6144771254621446e-06,1.3348948186830967e-06,9.325264518911247e-12,1.0699557559390449e-11,1.0,1377.9132080078125
1.0,3.0,1.0,0.9999333620071411,0.54193115234375,0.9999333620071411,0.9999333620071411,0.9442811608314514,4362.8193359375
3.0,4.0,3.0,5.460952706926037e-06,4.540935378827271e-07,5.708085393241191e-11,5.845515044233807e-11,1.0,3664.230712890625
3.0,2.0,4.0,5.663909178110771e-06,8.158206128427992e-07,5.558326368615418e-11,5.6957556726633385e-11,1.0,948.482666015625
2.0,3.0,2.0,6.880392447783379e-06,3.708950089276186e-06,5.78936690254217e-11,5.926796553534786e-11,1.0,1354.1268310546875
4.0,3.0,1.0,6.562013822986046e-06,5.082484335616755e-07,8.132098466839821e-11,8.269528117832436e-11,1.0,191.03854370117188
4.0,3.0,3.0,7.971289960551076e-06,2.6737991447589593e-06,9.057775363086051e-11,9.195205014078667e-11,1.0,4832.173828125
2.0,3.0,1.0,4.341030944488011e-06,3.6096895428272546e-07,3.6069439102170975e-11,3.744373214265018e-11,1.0,313.88909912109375
3.0,3.0,4.0,2.1362318136652902e-07,5.788780299553764e-08,8.493811258719966e-14,1.4592312818154096e-12,1.0,14519.7568359375
4.0,4.0,2.0,7.261778137035435e-06,2.8593965453183046e-06,7.845922522786708e-11,7.983352173779323e-11,1.0,593.3984985351562
3.0,3.0,3.0,6.189852228999371e-06,5.147036858943466e-07,7.333549045807075e-11,7.47097869679969e-11,1.0,4996.96142578125
4.0,2.0,3.0,6.517285783047555e-06,1.030734665619093e-06,8.043467975005214e-11,8.18089762599783e-11,1.0,2784.244384765625
4.0,2.0,4.0,4.887177965429146e-06,5.551723347707593e-07,4.4681106037280927e-11,4.605539907776013e-11,1.0,4438.47216796875
3.0,5.0,2.0,7.465834187314613e-06,2.5716028630995424e-06,8.366432546758062e-11,8.503862197750678e-11,1.0,6461.3515625
3.0,2.0,3.0,5.197223345021484e-06,2.772155539787491e-06,4.667922992585005e-11,4.8053522966329254e-11,1.0,4151.8212890625
3.0,3.0,2.0,5.5671180234639905e-06,2.987612560900743e-06,5.053426427314989e-11,5.190856078307604e-11,1.0,5439.3408203125
3.0,2.0,2.0,4.896742666460341e-06,2.737498562055407e-06,3.213034699411921e-11,3.350464003459841e-11,1.0,969.0948486328125
3.0,5.0,3.0,5.196098754822742e-06,2.8355902941257227e-06,3.291386260761975e-11,3.428815564809895e-11,1.0,3520.61767578125
1.0,2.0,1.0,9.446235656738281,0.8177849650382996,165.554443359375,165.554443359375,0.3879221975803375,4213.91162109375
2.0,2.0,1.0,0.9998994469642639,0.541257381439209,0.9998994469642639,0.9998994469642639,0.9442843794822693,4701.28759765625
1.0,4.0,3.0,5.1303500185895246e-06,4.2660303734010085e-07,5.0378777538551134e-11,5.175307404847729e-11,1.0,1609.88623046875
3.0,5.0,4.0,0.09020236134529114,0.03633785992860794,0.012959899380803108,0.012959899380803108,0.9986751675605774,21432.890625
4.0,5.0,4.0,0.31081148982048035,0.1770518273115158,0.1678963005542755,0.1678963005542755,0.9932165145874023,23767.0703125
3.0,3.0,1.0,6.082804702600697e-06,1.6483647868881235e-06,6.445088907014451e-11,6.582518558007067e-11,1.0,29.812267303466797
3.0,4.0,2.0,8.359720595763065e-06,4.583134796121158e-06,8.266287654379312e-11,8.403717305371927e-11,1.0,1115.36669921875
1.0,5.0,3.0,9.623035111872014e-06,5.190135198063217e-06,9.595729072442438e-11,9.733158029545663e-11,1.0,1242.3603515625
