run,operation,started,time,status,label,Smax,Smin,Sslimit,dseta,fdmax,fdmin,function,groups,n,n_operators,nlvls,step,LSl,LSu,SScounter,SSresets,Total_Moment,current_MAE,current_MAE_saved,current_MAPE,current_MAPE_saved,current_MSE,current_MSE_saved,current_best_cost,current_best_cost_saved,current_r2,current_r2_saved,delta,deltamax,deltamin,global_best
f108506f,DSRegPSOPnl,2024-07-23 19:34:26,5:47:10,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=4 n=200 n_operators=5 nlvls=4,0.04,0.01,3,0.001,1e-16,1e-26,9,4,200,5,4,19980200,-3.299999952316284,3.299999952316284,0.0,36.0,0.18150000274181366,2631509.0,2006666.75,718.4052734375,2330.237548828125,25938251218944.0,8119887331328.0,25938251218944.0,8119887331328.0,-12.188035011291504,-48.07671356201172,0.0020045151468366385,0.025056438520550728,2.0966304787898237e-16,25938251218944.0
7d45534a,DSRegPSOPnl,2024-07-23 18:47:52,4:12:25,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=4 n=200 n_operators=5 nlvls=3,0.04,0.01,3,0.001,1e-16,1e-26,9,4,200,5,3,19980200,-5.101236820220947,5.101236820220947,0.0,36.0,0.28056800365448,84005.703125,84005.703125,5.681872367858887,5.681872367858887,32087793664.0,32087793664.0,32087803904.0,32087803904.0,0.8072696924209595,0.8072696924209595,7.751220437057782e-06,2.9798213290632702e-05,8.039944091109213e-18,32087803904.0
acabe457,DSRegPSOPnl,2024-07-23 17:15:30,2:47:58,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=4 n=200 n_operators=5 nlvls=2,0.04,0.01,3,0.001,1e-16,1e-26,9,4,200,5,2,19980200,-10.33618450164795,10.33618450164795,0.0,31.0,0.5684901475906372,4799758.5,41447.69921875,963.8421630859375,129.21351623535156,98519981490176.0,5094957056.0,98519981490176.0,5094957056.0,-1696.32958984375,0.9996595978736877,0.0704038217663765,0.08984451740980148,2.069493597214693e-14,98519981490176.0
212a1673,DSRegPSOPnl,2024-07-23 17:07:04,1:40:47,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=4 n=200 n_operators=5 nlvls=1,0.04,0.01,3,0.001,1e-16,1e-26,9,4,200,5,1,19980200,-6.603636264801025,6.603636264801025,0.0,46.0,0.36319997906684875,5544161.5,3874.1875,181.6610565185547,30.748342514038086,121736771141632.0,31859516.0,121736771141632.0,31859516.0,-1622.722900390625,0.9999968409538269,0.04961463063955307,0.12090406566858292,4.594789175874081e-13,121736771141632.0
d12d29aa,DSRegPSOPnl,2024-07-23 15:59:46,5:14:27,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=4 n=200 n_operators=4 nlvls=4,0.04,0.01,3,0.001,1e-16,1e-26,9,4,200,4,4,19980200,-7.644050598144531,7.644050598144531,2.0,42.0,0.4204227924346924,5229320.5,1079490.125,1282.3302001953125,1846.3642578125,141277664378880.0,4073656942592.0,141277664378880.0,4073656942592.0,-1094.1021728515625,0.9829897284507751,0.07222587615251541,0.14040662348270416,1.5098448682168523e-14,141277664378880.0
3c408b49,DSRegPSOPnl,2024-07-23 15:52:27,3:41:58,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=4 n=200 n_operators=4 nlvls=3,0.04,0.01,3,0.001,1e-16,1e-26,9,4,200,4,3,19980200,-9.607048988342285,9.607048988342285,0.0,38.0,0.5283876657485962,4249898.5,21789.373046875,289.76129150390625,295.0018615722656,54123521114112.0,940099136.0,54123521114112.0,940099136.0,0.771809995174408,0.9969173073768616,0.037261903285980225,0.052429500967264175,1.5366404166900632e-14,54123521114112.0
0d95a151,DSRegPSOPnl,2024-07-23 14:37:47,2:29:16,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=4 n=200 n_operators=4 nlvls=2,0.04,0.01,3,0.001,1e-16,1e-26,9,4,200,4,2,19980200,-13.800000190734863,13.800000190734863,0.0,35.0,0.7590000033378601,23220.927734375,536.150634765625,71.00534057617188,8.391193389892578,2074987392.0,532389.375,2074987392.0,532389.375,0.9997976422309875,0.999997079372406,1.3048371556578786e-06,2.071170001727296e-06,3.2497572938365744e-18,2074987392.0
1c3494c8,DSRegPSOPnl,2024-07-23 14:25:18,1:34:27,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=4 n=200 n_operators=4 nlvls=1,0.04,0.01,3,0.001,1e-16,1e-26,9,4,200,4,1,19980200,-19.200000762939453,19.200000762939453,0.0,50.0,1.055999994277954,4882128.0,223824.140625,17945.197265625,4068.126708984375,104666792722432.0,138752458752.0,104666792722432.0,138752458752.0,-1626.251220703125,0.7566950917243958,0.09016215801239014,0.0980023443698883,1.5181420302736587e-13,104666792722432.0
aae60806,DSRegPSOPnl,2024-07-23 12:46:59,4:28:29,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=4 n=200 n_operators=3 nlvls=4,0.04,0.01,3,0.001,1e-16,1e-26,9,4,200,3,4,19980200,-18.399999618530273,18.399999618530273,0.0,31.0,1.0119999647140503,6994895.0,16994.556640625,20164.09765625,2.401665210723877,170552866111488.0,1082613376.0,170552866111488.0,1082623488.0,-1092.3504638671875,0.9998685717582703,0.13421426713466644,0.159778892993927,1.8624992431030656e-14,170552866111488.0
b8192e23,DSRegPSOPnl,2024-07-23 12:36:51,3:15:35,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=4 n=200 n_operators=3 nlvls=3,0.04,0.01,3,0.001,1e-16,1e-26,9,4,200,3,3,19980200,-10.00000286102295,10.00000286102295,0.0,33.0,0.5500001907348633,155278.296875,812.2548217773438,1415.6796875,7.05005407333374,66810884096.0,1220368.875,66810892288.0,1230368.875,0.9431834816932678,0.9999995827674866,5.002921534469351e-05,6.670558650512248e-05,3.633729322945831e-17,66810892288.0
4f65c04f,DSRegPSOPnl,2024-07-23 12:22:51,2:14:55,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=4 n=200 n_operators=3 nlvls=2,0.04,0.01,3,0.001,1e-16,1e-26,9,4,200,3,2,19980200,-4.609022617340088,4.609022617340088,1.0,36.0,0.2534962594509125,5551000.5,923.134521484375,1749.6612548828125,8.770552635192871,100653523271680.0,1562135.125,100653523271680.0,1562135.125,-1086.50537109375,0.9999997019767761,0.021089795976877213,0.09999795258045197,3.260220327212793e-14,100653523271680.0
