noise_c,noise_x,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
0.05,0.0,537.2837524414062,0.3216962516307831,827849.0,796006.1875,1.0,12064.2646484375
0.0,0.0,219.69696044921875,0.3069039285182953,94560.28125,94560.28125,1.0,12134.43359375
0.0,0.25,88467.0078125,0.5417344570159912,38755078144.0,38755098624.0,0.9998297095298767,12293.2587890625
0.1,0.0,770.1973876953125,0.16803084313869476,1644861.625,1489812.875,0.9999998807907104,11979.0146484375
0.0,0.15,25764.2578125,0.6170483827590942,4922269696.0,4922279424.0,0.999614417552948,11882.294921875
0.0,0.05,10640.2802734375,0.09923664480447769,525572320.0,525592320.0,0.9999901056289673,11888.447265625
0.0,0.1,24509.03515625,82.58289337158203,3275951872.0,3275971840.0,0.9999440312385559,11942.072265625
0.15,0.0,763.452392578125,0.10361861437559128,1910867.5,1625296.625,0.9999998211860657,11571.1962890625
0.0,0.0,219.69696044921875,0.3069039285182953,94560.28125,94560.28125,1.0,11782.12890625
0.25,0.0,857.336669921875,0.1169104278087616,2453783.5,1855353.0,0.9999998211860657,11565.4208984375
