groups,n_operators,nlvls,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
1.0,2.0,2.0,1763699.625,7.409820556640625,9716072710144.0,9716072710144.0,0.9596328735351562,5683.74267578125
2.0,4.0,4.0,219.69696044921875,0.3069039285182953,94560.28125,94560.28125,1.0,13617.244140625
4.0,4.0,2.0,536.150634765625,8.391193389892578,532389.375,532389.375,0.999997079372406,8956.9013671875
4.0,4.0,1.0,223824.140625,4068.126708984375,138752458752.0,138752458752.0,0.7566950917243958,5667.68017578125
1.0,5.0,2.0,6578.74365234375,0.614596962928772,136600592.0,136600592.0,0.9999842643737793,6296.4677734375
4.0,5.0,1.0,3874.1875,30.748342514038086,31859516.0,31859516.0,0.9999968409538269,6047.46728515625
1.0,2.0,1.0,6306725.0,7.814591407775879,239782386991104.0,239782386991104.0,-1209.0762939453125,4833.30908203125
4.0,2.0,1.0,1768801.75,7.173420429229736,9733338562560.0,9733338562560.0,0.4442577362060547,4815.5634765625
4.0,2.0,2.0,544.5271606445312,8.568696022033691,485691.875,485691.875,0.9999972581863403,7015.6328125
2.0,5.0,4.0,927.2521362304688,0.47478657960891724,2723443.75,2733443.75,0.9999997615814209,15269.84765625
1.0,2.0,4.0,1389.3907470703125,0.0984271988272667,7617470.5,7617470.5,0.9999997615814209,8040.16162109375
4.0,4.0,3.0,21789.373046875,295.0018615722656,940099136.0,940099136.0,0.9969173073768616,13318.0712890625
2.0,4.0,1.0,986059.5,423.21783447265625,3353364660224.0,3353364660224.0,0.6380391716957092,5571.71533203125
2.0,4.0,3.0,809.8410034179688,0.09255585819482803,2124348.25,2134348.25,0.9999998211860657,10339.62890625
3.0,4.0,4.0,10990.4990234375,0.20902740955352783,486349504.0,486349504.0,0.9999977946281433,14943.1962890625
1.0,5.0,1.0,4494316.5,338.0404357910156,61465948061696.0,61465948061696.0,0.7486712336540222,4891.51708984375
2.0,3.0,3.0,512.1320190429688,0.6286219954490662,797174.875,807174.875,1.0,9528.3505859375
2.0,3.0,1.0,255240.25,0.4787607491016388,200375517184.0,200375517184.0,-0.31544074416160583,5338.298828125
3.0,3.0,2.0,870.3788452148438,3.719438076019287,1385997.75,1385997.75,0.9999976754188538,8139.98681640625
1.0,4.0,1.0,4506991.5,484.71893310546875,61555500646400.0,61555500646400.0,0.7443661689758301,5096.04296875
3.0,2.0,1.0,4259195.5,24706.73828125,44736979140608.0,44736979140608.0,0.8142001628875732,5399.47119140625
4.0,3.0,2.0,923.134521484375,8.770552635192871,1562135.125,1562135.125,0.9999997019767761,8095.5205078125
3.0,4.0,1.0,442497.3125,4.602688312530518,572245213184.0,572245213184.0,0.997601330280304,4979.65087890625
3.0,3.0,1.0,1543530.25,6.951146602630615,7089276059648.0,7089276059648.0,0.9699674248695374,5791.75732421875
3.0,4.0,3.0,3407.0029296875,0.45553556084632874,26847078.0,26847078.0,0.9999954700469971,10959.7431640625
3.0,5.0,3.0,11217.4013671875,7.954209804534912,441154432.0,441164416.0,0.9925162196159363,12406.17578125
