noise_c,noise_x,current_best_cost_saved,current_r2_saved
0.25,0.0,6.242727168537243e-11,1.0
0.0,0.15,2.653104515595861e-12,1.0
0.0,0.25,2.6531042987554265e-12,1.0
0.05,0.0,2.725884839030468e-12,1.0
0.0,0.0,2.6531042987554265e-12,1.0
0.15,0.0,3.364828381202667e-12,1.0
0.0,0.0,2.6531042987554265e-12,1.0
0.0,0.1,2.6531042987554265e-12,1.0
0.0,0.05,2.6531042987554265e-12,1.0
0.1,0.0,7.969835902343902e-11,1.0
