run,operation,started,time,status,label,Smax,Smin,Sslimit,dseta,fdmax,fdmin,function,groups,n,n_operators,nlvls,noise_c,noise_x,step,LSl,LSu,SScounter,SSresets,Total_Moment,current_MAE,current_MAE_saved,current_MAPE,current_MAPE_saved,current_MSE,current_MSE_saved,current_best_cost,current_best_cost_saved,current_r2,current_r2_saved,delta,deltamax,deltamin,global_best
6cdf71ad,DSRegPSOPnl,2024-08-03 00:24:08,2:07:53,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=2 noise_c=0.25 noise_x=0,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,2,0.25,0,19980200,-5.5,5.5,1.0,28.0,0.30250000953674316,6489.24755859375,818.3019409179688,0.9944183230400085,37.854862213134766,126513096.0,1416716.625,94888432.0,1063654.125,0.7624405026435852,0.9970890879631042,0.0028425236232578754,0.00947507843375206,6.336847448954342e-15,94888432.0
70196fdf,DSRegPSOPnl,2024-08-03 00:21:59,2:09:40,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=2 noise_c=0.15 noise_x=0,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,2,0.15,0,19980200,-12.0,12.0,0.0,38.0,0.6600000262260437,12192.4697265625,43.677486419677734,46.77819061279297,0.38850533962249756,502604160.0,3341.246337890625,427918240.0,2841.7861328125,0.6760811805725098,0.9999980926513672,0.007989906705915928,0.039949532598257065,2.889871434058437e-14,427918240.0
7a4532db,DSRegPSOPnl,2024-08-02 21:34:50,2:47:08,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=2 noise_c=0.1 noise_x=0,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,2,0.1,0,19980200,-3.5999999046325684,3.5999999046325684,0.0,38.0,0.1979999989271164,9531.5458984375,794.9039916992188,0.8039458990097046,3.4384970664978027,327364576.0,1680758.25,294774944.0,1512707.75,0.6965593695640564,0.99643474817276,0.0027973169926553965,0.02543015405535698,2.25634957359876e-14,294774944.0
7b5eaa06,DSRegPSOPnl,2024-08-02 21:34:20,2:49:46,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=2 noise_c=0.05 noise_x=0,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,2,0.05,0,19980200,-3.799999952316284,3.799999952316284,0.0,36.0,0.20900000631809235,8183.873046875,467.5169677734375,4.826526165008545,9.946091651916504,218602608.0,427167.125,210238208.0,405809.75,0.7311986088752747,0.9990748763084412,0.0022277277894318104,0.01713636890053749,3.2226107514536336e-15,210238208.0
b1bfa060,DSRegPSOPnl,2024-08-02 21:32:40,2:51:41,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=2 noise_c=0 noise_x=0,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,2,0,0,19980200,-3.5999999046325684,3.5999999046325684,1.0,41.0,0.1979999989271164,10822.2080078125,21.049514770507812,54.39527130126953,0.7127578258514404,365456768.0,624.5813598632812,365456768.0,624.5813598632812,0.6199714541435242,0.9999982118606567,0.003982171416282654,0.036201559007167816,8.204272358052281e-14,365456768.0
069c93e2,DSRegPSOPnl,2024-08-02 21:32:17,2:53:20,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0.25,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,2,0.0,0.25,19980200,-5.099999904632568,5.099999904632568,0.0,78.0,0.28049999475479126,13145.2685546875,6679.32470703125,29.4981632232666,68.90912628173828,578665152.0,119140712.0,578665152.0,119140712.0,0.594184935092926,0.8793387413024902,0.015045294538140297,0.05786651745438576,3.6534245409763216e-14,578665152.0
258739db,DSRegPSOPnl,2024-08-02 18:43:18,2:51:01,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0.15,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,2,0.0,0.15,19980200,-3.700000047683716,3.700000047683716,0.0,73.0,0.20350000262260437,14914.5830078125,4406.98095703125,4.83170747756958,173.9796905517578,885420352.0,41577400.0,885420352.0,41577400.0,0.5658193826675415,0.9703647494316101,0.01062504481524229,0.08854203671216965,3.654351533833797e-14,885420352.0
049a1917,DSRegPSOPnl,2024-08-02 18:43:09,2:51:40,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0.1,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,2,0.0,0.1,19980200,-8.899999618530273,8.899999618530273,0.0,67.0,0.4894999861717224,10313.046875,1035.3531494140625,0.7150293588638306,7.397552013397217,350418976.0,2907001.5,350418976.0,2907001.5,0.6896380186080933,0.9974842071533203,0.020677587017416954,0.032308731228113174,6.228071054351471e-15,350418976.0
b1ce3aba,DSRegPSOPnl,2024-08-02 18:42:51,2:49:48,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0.05,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,2,0.0,0.05,19980200,-3.0,3.0,0.0,50.0,0.16500000655651093,32854.93359375,2963.7451171875,686.9263916015625,1.0257371664047241,2851856384.0,36484796.0,2851856384.0,36484796.0,-2.8702356815338135,0.9910755157470703,0.013684823177754879,0.2736964821815491,4.779848392089114e-13,2851856384.0
6d0dc07e,DSRegPSOPnl,2024-08-02 18:42:03,2:50:13,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-11 fdmin=1.0e-21 function=10 groups=3 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0,0.04,0.01,3,0.001,1e-11,1e-21,10,3,200,4,2,0.0,0,19980200,-3.5999999046325684,3.5999999046325684,1.0,41.0,0.1979999989271164,10822.2080078125,21.049514770507812,54.39527130126953,0.7127578258514404,365456768.0,624.5813598632812,365456768.0,624.5813598632812,0.6199714541435242,0.9999982118606567,0.003982171416282654,0.036201559007167816,8.204272358052281e-14,365456768.0
