noise_c,noise_x,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
0.0,0.1,1035.3531494140625,7.397552013397217,2907001.5,2907001.5,0.9974842071533203,10300.7529296875
0.0,0.25,6679.32470703125,68.90912628173828,119140712.0,119140712.0,0.8793387413024902,10400.505859375
0.0,0.15,4406.98095703125,173.9796905517578,41577400.0,41577400.0,0.9703647494316101,10261.69140625
0.25,0.0,818.3019409179688,37.854862213134766,1416716.625,1063654.125,0.9970890879631042,7673.68017578125
0.0,0.0,21.049514770507812,0.7127578258514404,624.5813598632812,624.5813598632812,0.9999982118606567,10213.9990234375
0.15,0.0,43.677486419677734,0.38850533962249756,3341.246337890625,2841.7861328125,0.9999980926513672,7780.38037109375
0.1,0.0,794.9039916992188,3.4384970664978027,1680758.25,1512707.75,0.99643474817276,10028.025390625
0.05,0.0,467.5169677734375,9.946091651916504,427167.125,405809.75,0.9990748763084412,10186.9560546875
0.0,0.0,21.049514770507812,0.7127578258514404,624.5813598632812,624.5813598632812,0.9999982118606567,10301.2119140625
0.0,0.05,2963.7451171875,1.0257371664047241,36484796.0,36484796.0,0.9910755157470703,10188.7138671875
