noise_c,noise_x,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
0.1,0.0,1531.78955078125,1.3775806427001953,3510148.25,3160014.5,0.9648106694221497,17598.431640625
0.0,0.0,0.7788042426109314,0.0009117512381635606,0.7725203037261963,0.7725203037261963,1.0,17816.966796875
0.0,0.0,0.7788042426109314,0.0009117512381635606,0.7725203037261963,0.7725203037261963,1.0,18055.373046875
0.0,0.15,2003.7518310546875,0.10360933095216751,9094746.0,9094746.0,0.993651270866394,17903.072265625
0.15,0.0,31.878515243530273,0.01378513965755701,1407.053955078125,1196.4578857421875,0.9999921917915344,16561.873046875
0.0,0.25,40929.26953125,6.244522571563721,4293079040.0,4293079040.0,-0.3023119568824768,18156.056640625
0.0,0.1,10121.2294921875,1.4474178552627563,177463328.0,177463328.0,0.5795928835868835,17929.689453125
0.05,0.0,493.9282531738281,0.29444053769111633,1460573.625,1387636.125,0.885500967502594,17845.232421875
0.0,0.05,3109.4052734375,0.61122727394104,15983889.0,15983889.0,0.9746775031089783,17783.626953125
0.25,0.0,431.0333251953125,0.07491033524274826,260836.4375,195826.921875,0.9991177320480347,16605.5078125
